"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","let name","let value","assert test","assert description","assert severity","notes"
"","","","","","","","","","auc:ContactEmailAddresses/auc:ContactEmailAddress/auc:EmailAddress","","WARNING",""
"","","","","Utility Billpayer","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Utilities/auc:Utility","true","","","auc:UtilityBillpayer","","ERROR",""
"","","Space Functions","ASHRAE 211 6.1.1.1.g/5.3.4","Space Functions","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = 'Space function']","true","","","auc:OccupancyClassification","","ERROR",""
"","","","","","","","","","auc:OriginalOccupancyClassification","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Conditioned']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue >= auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Conditioned']/auc:FloorAreaValue","Conditioned floor area cannot be greater than Gross floor area","ERROR",""
"","","","","","","","","","auc:TypicalOccupantUsages/auc:TypicalOccupantUsage[auc:TypicalOccupantUsageUnits/text() = 'Hours per week']","","ERROR",""
"","","","","","","","","","auc:TypicalOccupantUsages/auc:TypicalOccupantUsage[auc:TypicalOccupantUsageUnits/text() = 'Weeks per year']","","ERROR",""
"","","","","","","","","","auc:OccupancyLevels/auc:OccupancyLevel[auc:OccupantQuantityType/text() = 'Peak total occupants' or auc:OccupantQuantityType/text() = 'Normal occupancy']/auc:OccupantQuantity","","ERROR",""
"","","","","","","","","","//auc:PlugLoad[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:WeightedAverageLoad","auc:Section[auc:SectionType='Space function'] must have a linked auc:PlugLoad with auc:WeightedAverageLoad","ERROR",""
"","","","","","","","","","//auc:HVACSystem[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]","auc:Section[auc:SectionType='Space function'] must have a linked auc:HVACSystem","ERROR",""
"","","","","","","","","","//auc:LightingSystem[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:LampType","auc:Section[auc:SectionType='Space function'] must have a linked auc:LightingSystem with auc:LampType defined","ERROR",""
"","","","","","","","","","//auc:LightingSystem[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:LampType//auc:LampLabel","auc:Section[auc:SectionType='Space function'] must have a linked auc:LightingSystem with auc:LampLabel defined","WARNING",""
"","","Scenarios","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario","true","","","auc:LinkedPremises/auc:Building/auc:LinkedBuildingID","","ERROR",""
"","","","","","","","","","//auc:Buildings/auc:Building[@ID = current()/auc:LinkedPremises/auc:Building/auc:LinkedBuildingID/@IDref]","Every auc:Scenario must be linked to an auc:Building through auc:LinkedPremises","ERROR",""
"Schedules","ASHRAE 211 6.2.1.1 (e)","General Schedule Requirements","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Schedules/auc:Schedule/auc:ScheduleDetails","true","","","auc:ScheduleDetail","There shoudl be at least one auc:ScheduleDetail in every auc:ScheduleDetails","ERROR",""
"","","","","","","","","","count(auc:ScheduleDetail/auc:ScheduleCategory) = count(auc:ScheduleDetail)","Every auc:ScheduleDetail should have an auc:ScheduleCategory","ERROR",""
"","","","","","","","scheduleCategory","auc:ScheduleDetail[1]/auc:ScheduleCategory","count(auc:ScheduleDetail[auc:ScheduleCategory/text() = $scheduleCategory]) = count(auc:ScheduleDetail)","All auc:ScheduleDetail within an auc:ScheduleDetails should have the same auc:ScheduleCategory","ERROR",""
"","","","","","","","","","auc:ScheduleDetail/auc:DayType/text() = 'Weekday'","","ERROR",""
"","","","","","","","","","auc:ScheduleDetail/auc:DayType/text() = 'Weekend'","","ERROR",""
"","","","","","","","","","auc:ScheduleDetail/auc:DayType/text() = 'Holiday'","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Schedules/auc:Schedule/auc:ScheduleDetails/auc:ScheduleDetail","true","","","auc:DayStartTime","","ERROR",""
"","","","","","","","","","auc:DayEndTime","","ERROR",""
"","","","","","","","","","auc:PartialOperationPercentage","","ERROR",""
"","","Occupancy Schedules","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Schedules/auc:Schedule/auc:ScheduleDetails/auc:ScheduleDetail[auc:ScheduleCategory/text() = 'Occupied']","true","","","auc:PartialOperationPercentage","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = 'Space function']","true","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Schedules/auc:Schedule[auc:ScheduleDetails/auc:ScheduleDetail/auc:ScheduleCategory/text() = 'Occupied']/auc:LinkedPremises/auc:Section/auc:LinkedSectionID[@IDref = current()/@ID]","auc:Section[auc:SectionType='Space function'] must have a linked auc:Schedule with Occupied Category","ERROR",""
"Multigeneration and Onsite Renewable Energy Systems","ASHRAE 211 6.2.1.1 (f)","Generation Systems","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:OnsiteStorageTransmissionGenerationSystems/auc:OnsiteStorageTransmissionGenerationSystem/auc:EnergyConversionType/auc:Generation/auc:OnsiteGenerationType/auc:PV","false","","","auc:PhotovoltaicSystemMaximumPowerOutput","","ERROR",""
"","","","","","","","","","auc:PhotovoltaicSystemInverterEfficiency","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:OnsiteStorageTransmissionGenerationSystems/auc:OnsiteStorageTransmissionGenerationSystem/auc:EnergyConversionType/auc:Generation/auc:OnsiteGenerationType/auc:Other","false","","","auc:OtherEnergyGenerationTechnology","","ERROR",""
"","","","","","","","","","auc:OutputResourceType","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:OnsiteStorageTransmissionGenerationSystems/auc:OnsiteStorageTransmissionGenerationSystem[auc:EnergyConversionType/auc:Storage/auc:EnergyStorageTechnology]","false","","","auc:Capacity","","ERROR",""
"","","","","","","","","","auc:CapacityUnits","","ERROR",""
"Building Envelope - Roof and Walls","ASHRAE 211 6.2.1.2 (a) (b)","Roof","ASHRAE 211 6.2.1.2 (a)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:RoofSystems/auc:RoofSystem","true","","","auc:RoofConstruction","","ERROR",""
"","","","","","","","","","auc:RoofRValue or auc:RoofUFactor","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType = ""Whole building""]/auc:Roofs/auc:Roof","true","","","//auc:RoofSystem[@ID = current()/auc:RoofID/@IDref]","Every auc:RoofID within auc:SectionType of ""Whole building"" must link to a valid auc:RoofSystem's ID","ERROR",""
"","","","","","","","","","auc:RoofID/auc:RoofArea","","ERROR",""
"","","","","","","","","","auc:RoofID/auc:RoofCondition","","ERROR",""
"","","Walls - General Requirements","ASHRAE 211 6.2.1.2 (b)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","","","auc:TotalExteriorAboveGradeWallArea","","ERROR",""
"","","","","","","","","","auc:TotalExteriorBelowGradeWallArea","","ERROR",""
"","","","","","","","","","auc:OverallWindowToWallRatio","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:WallSystems/auc:WallSystem","true","","","auc:ExteriorWallConstruction","","ERROR",""
"","","","","","","","","","auc:WallRValue or auc:WallUFactor","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]","true","","","auc:FootprintShape","","ERROR",""
"","","Walls - Building Sides","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'Other']","false","","","auc:NumberOfSides","Must provide auc:NumberOfSides if auc:FootprintShape is Other","ERROR",""
"","","","","","","","","","auc:NumberOfSides = count(auc:Sides/auc:Side)","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'Rectangular']","false","","","count(auc:Sides/auc:Side) = 4","Incorrect number of auc:Side elements for footprint shape ""Rectangular"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'L-Shape']","false","","","count(auc:Sides/auc:Side) = 6","Incorrect number of auc:Side elements for footprint shape ""L-Shape"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'U-Shape']","false","","","count(auc:Sides/auc:Side) = 8","Incorrect number of auc:Side elements for footprint shape ""U-Shape"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'T-Shape']","false","","","count(auc:Sides/auc:Side) = 8","Incorrect number of auc:Side elements for footprint shape ""T-Shape"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'H-Shape']","false","","","count(auc:Sides/auc:Side) = 12","Incorrect number of auc:Side elements for footprint shape ""H-Shape"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building"" and auc:FootprintShape/text() = 'O-Shape']","false","","","count(auc:Sides/auc:Side) = 8","Incorrect number of auc:Side elements for footprint shape ""O-Shape"" (found <value-of select=""count(auc:Sides/auc:Side)""/>)","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]/auc:Sides/auc:Side","true","","","auc:WallIDs/auc:WallID","Found an auc:Side with no linked auc:Wall","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]/auc:Sides/auc:Side/auc:WallIDs/auc:WallID","true","","","//auc:WallSystem[@ID = current()/@IDref]","auc:WallID in auc:Side should link to an auc:WallSystem's ID","ERROR",""
"","","","","","","","","","auc:WallArea","","ERROR",""
"Building Envelope - Fenestration","ASHRAE 211 6.2.1.2 (c)","Fenestration General Requirements","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","","","auc:OverallWindowToWallRatio","","ERROR",""
"","","","","","","","","","auc:OverallDoorToWallRatio","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]/auc:Sides/auc:Side","true","","","auc:WindowIDs/auc:WindowID","Found an auc:Side with no linked auc:Window","WARNING",""
"","","","","","","","","","auc:DoorIDs/auc:DoorID","Found an auc:Side with no linked auc:Door","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]/auc:Sides/auc:Side/auc:WindowIDs/auc:WindowID","true","","","//auc:FenestrationSystems/auc:FenestrationSystem[auc:FenestrationType/auc:Window and @ID = current()/@IDref]","An auc:Side element's auc:WindowIDs/auc:WindowID must point to a valid auc:FenestrationSystem","ERROR",""
"","","","","","","","","","auc:FenestrationArea or auc:WindowToWallRatio","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = ""Whole building""]/auc:Sides/auc:Side/auc:DoorIDs/auc:DoorID","true","","","//auc:FenestrationSystems/auc:FenestrationSystem[auc:FenestrationType/auc:Door and @ID = current()/@IDref]","An auc:Side element's auc:DoorIDs/auc:DoorID must point to a valid auc:FenestrationSystem","ERROR",""
"","","","","","","","","","auc:FenestrationArea","","ERROR",""
"","","Fenestration Windows","ASHRAE 211 6.2.1.2 (c)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FenestrationSystems/auc:FenestrationSystem[auc:FenestrationType/auc:Window]","true","","","auc:FenestrationFrameMaterial","","ERROR",""
"","","","","","","","","","auc:GlassType","","ERROR",""
"","","","","","","","","","auc:FenestrationGlassLayers","","ERROR",""
"","","","","","","","","","auc:FenestrationRValue or auc:FenestrationUFactor","","ERROR",""
"","","","","","","","","","auc:SolarHeatGainCoefficient","","WARNING",""
"","","","","","","","","","auc:VisibleTransmittance","","WARNING",""
"","","Fenestration Doors","ASHRAE 211 6.2.1.2 (c)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FenestrationSystems/auc:FenestrationSystem[auc:FenestrationType/auc:Door]","true","","","auc:FenestrationType/auc:Door/auc:ExteriorDoorType","","ERROR",""
"","","","","","","","","","auc:FenestrationFrameMaterial","","ERROR",""
"","","","","","","","","","auc:FenestrationRValue or auc:FenestrationUFactor","","ERROR",""
"","","","","","","","","","auc:FenestrationType/auc:Door/auc:DoorGlazedAreaFraction","","ERROR",""
"Building Envelope - Floors and underground walls","ASHRAE 211 6.2.1.2 (c)","Foundation system","ASHRAE 211 6.2.1.2 (c)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem","true","","","auc:FloorConstructionType","","ERROR",""
"","","","","","","","","","auc:GroundCouplings/auc:GroundCoupling/*","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem/auc:GroundCouplings/auc:GroundCoupling/auc:SlabOnGrade","false","","","auc:SlabRValue or auc:SlabUFactor","","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem/auc:GroundCouplings/auc:GroundCoupling/auc:Basement","false","","","auc:FoundationWallConstruction","","ERROR",""
"","","","","","","","","","auc:FoundationWallRValue or auc:FoundationWallUFactor","","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem/auc:GroundCouplings/auc:GroundCoupling/auc:Crawlspace/auc:CrawlspaceVenting/auc:Ventilated","false","","","auc:FloorRValue or auc:FloorUFactor","","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem/auc:GroundCouplings/auc:GroundCoupling/auc:Crawlspace/auc:CrawlspaceVenting/auc:Unventilated","false","","","auc:FoundationWallRValue or auc:FoundationWallUFactor","","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType = ""Whole building""]","true","","","count(auc:Foundations/auc:Foundation/auc:FoundationID) >= 1","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType = ""Whole building""]/auc:Foundations/auc:Foundation/auc:FoundationID","true","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:FoundationSystems/auc:FoundationSystem[@ID = current()/@IDref]","auc:FoundationID must point to a valid auc:FoundationSystem","ERROR",""
"","","","","","","","","","auc:FoundationArea","","ERROR",""
"Building Envelope - Enclosure Tightness","ASHRAE 211 6.2.1.2 (e)","Air Infiltration General Requirements","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:AirInfiltrationSystems/auc:AirInfiltrationSystem","true","","","auc:Tightness","","ERROR",""
"","","","","","","","","","auc:AirInfiltrationTest","","ERROR",""
"","","","","","","","","","auc:AirInfiltrationNotes","","ERROR",""
"","","","","","","","","","auc:LinkedPremises/auc:Section/auc:LinkedSectionID[@IDref = //auc:Sections/auc:Section[auc:SectionType = 'Whole building']/@ID]","auc:AirInfiltrationSystem must be linked to auc:Section[auc:SectionType = 'Whole building']","ERROR",""
"","","Air Infiltration Blower or Tracer Test","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:AirInfiltrationSystems/auc:AirInfiltrationSystem[auc:AirInfiltrationTest/text() = 'Blower door' or auc:AirInfiltrationTest/text() = 'Tracer gas']","false","","","auc:AirInfiltrationValue","","ERROR",""
"","","","","","","","","","auc:AirInfiltrationValueUnits","","ERROR",""
"","","Water Infiltration","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:WaterInfiltrationSystems/auc:WaterInfiltrationSystem","true","","","auc:LinkedPremises/auc:Section/auc:LinkedSectionID[@IDref = //auc:Sections/auc:Section[auc:SectionType = 'Whole building']/@ID]","auc:WaterInfiltrationSystem must be linked to auc:Section[auc:SectionType = 'Whole building']","ERROR",""
"","","","","","","","","","auc:WaterInfiltrationNotes","","ERROR",""
"HVAC General Requirements","","General HVAC Requirements","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems","true","","","auc:HVACSystem","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem","true","","","//auc:Buildings/auc:Building/auc:Sections/auc:Section[@ID = current()/auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref]","Every auc:HVACSystem should be linked to an auc:Section","ERROR",""
"","","","","","","","","","auc:HeatingAndCoolingSystems","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:LinkedPremises/auc:Section/auc:LinkedSectionID","true","","","auc:LinkedScheduleIDs/auc:LinkedScheduleID","","ERROR",""
"","","","","","","","","","//auc:Schedules/auc:Schedule[@ID = current()/auc:LinkedScheduleIDs/auc:LinkedScheduleID/@IDref]/auc:ScheduleDetails/auc:ScheduleDetail[auc:ScheduleCategory/text() = ""HVAC equipment""]","","ERROR",""
"HVAC Year Installed","ASHRAE 211 6.2.1.3 (a)","Year Installed","ASHRAE 211 6.2.1.3 (a)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:HeatingPlants/auc:HeatingPlant","false","","","auc:YearInstalled","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:CoolingPlants/auc:CoolingPlant","false","","","auc:YearInstalled","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:CondenserPlants/auc:CondenserPlant","false","","","auc:YearInstalled","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:HeatingAndCoolingSystems/auc:Deliveries/auc:Delivery","false","","","auc:YearInstalled","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:HeatingAndCoolingSystems/auc:CoolingSources/auc:CoolingSource[not(auc:CoolingSourceType/auc:CoolingPlantID)]","false","","","auc:YearInstalled","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:HeatingAndCoolingSystems/auc:HeatingSources/auc:HeatingSource[not(auc:HeatingSourceType/auc:HeatingPlantID)]","false","","","auc:YearInstalled","","ERROR",""
"HVAC Design Capacity","ASHRAE 211 6.2.1.3 (a)","Design Capacity","ASHRAE 211 6.2.1.3 (a)","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:CoolingPlants/auc:CoolingPlant/auc:DistrictChilledWater","false","","","auc:Capacity","","ERROR",""
"","","","","","","","","","auc:CapacityUnits","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:CoolingPlants/auc:CoolingPlant/auc:Chiller","false","","","auc:Capacity","","ERROR",""
"","","","","","","","","","auc:CapacityUnits","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:HeatingPlants/auc:HeatingPlant/auc:Boiler","false","","","auc:InputCapacity","","ERROR",""
"","","","","","","","","","auc:Capacity","","ERROR",""
"","","","","","","","","","auc:CapacityUnits","","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Systems/auc:HVACSystems/auc:HVACSystem/auc:Plants/auc:HeatingPlants/auc:HeatingPlant/auc:DistrictHeating","false","","","auc:Capacity","","ERROR",""
"","","","","","","","","","auc:CapacityUnits","","ERROR",""
